# Canasta de consumo tipica (base "Media" ENGHo). Plantilla.
# Se completa desde notebooks/02_construccion_canastas.ipynb (hoja Seleccion del maestro).
# Los items con tiene_gluten=1 son los que se reemplazan en la canasta celiaca
#   (ver config/canastas/canasta_celiaca.csv, join por 'grupo').
grupo,descripcion,ean,cantidad_mensual,tiene_gluten
Pastas,Fideos secos de trigo,,,1
Harina,Harina de trigo 000/0000,,,1
Galletitas saladas,Galletitas tipo cracker,,,1
Galletitas dulces,Galletitas dulces/obleas,,,1
Cacao,Cacao en polvo,,,1
Caldo,Caldo deshidratado,,,1
Cerveza,Cerveza rubia,,,1
Avena,Avena arrollada,,,1
Arroz,Arroz largo fino,,,0
Aceite,Aceite de girasol,,,0
Yerba,Yerba mate,,,0
Azucar,Azucar,,,0
Leche,Leche entera larga vida,,,0
Yogur,Yogur bebible,,,0
Queso,Queso de maquina,,,0
Huevos,Huevos x6,,,0
Tomate,Tomate triturado/salsa,,,0
Gaseosa,Gaseosa cola,,,0
