grupo,cantidad_mensual,unidad,tiene_gluten,producto_media,marca_media,ean_media,envase_media,precio_media,cob_media,producto_celiaco,marca_celiaco,ean_celiaco,envase_celiaco,precio_celiaco,cob_celiaco,unidades_media,unidades_celiaco,costo_media,costo_celiaco
Harina,1.35,kg,1,Harina 000 con Vitamina Zinc Favorita 1 Kg,Favorita,7790070562258,1.0,1118.0,2333,Premezcla para Pizza sin TACC Pureza 500 Gr,Pureza,7792180142849,0.5,4276.0,1717,1.35,2.7,1509.0,11545.0
Fideos,1.0,kg,1,Fideos Tallarín N5 Lucchetti 500 Gr,Luchetti,7790070336118,0.5,1598.0,2351,Fideos Tirabuzón sin Gluten Matarazzo 500 Gr,Matarazzo,7790070335982,0.5,4729.0,1256,2.0,2.0,3196.0,9458.0
Pan,1.5,kg,1,Pan de Mesa Blanco en Rodajas Finas Lactal 460 Gr,Lactal,7793890258752,0.46,4990.0,2059,Pan de Molde Clásico Blanco sin TACC Bio 220 Gr,Bio,7798221641616,0.22,6735.0,1239,3.26,6.82,16267.0,45933.0
Galletitas dulces,0.4,kg,1,Galletitas Vainilla con Relleno de Limón Duquesa 115 Gr,Duquesa,7622300742645,0.115,1508.0,2361,Galletitas Rellenas sin TACC Oreo 95 Gr,Oreo,7622202038099,0.095,2885.0,2016,3.48,4.21,5248.0,12146.0
Galletitas saladas,0.3,kg,1,Bizcochitos con Grasa Salados Don Satur 200 Gr,Don Satur,7795735000328,0.2,1432.0,2283,Galletas de Arroz sin TACC sin Sal Multicereal Grandiet 100 Gr,Grandiet,7797330102377,0.1,1600.0,908,1.5,3.0,2148.0,4800.0
Arroz,0.63,kg,0,Arroz Parboil Selección Gallo Oro 500 Gr,Gallo Oro,7790070433114,0.5,1435.0,2349,Arroz Parboil Selección Gallo Oro 500 Gr,Gallo Oro,7790070433114,0.5,1435.0,2349,1.26,1.26,1808.0,1808.0
Aceite girasol,1.2,L,0,Aceite de Girasol Natura 900 Ml,Natura,7790272001005,0.9,4409.0,2355,Aceite de Girasol Natura 900 Ml,Natura,7790272001005,0.9,4409.0,2355,1.33,1.33,5864.0,5864.0
Azucar,1.44,kg,0,Azúcar Molida Superior Ledesma 1 Kg,Ledesma,7792540250450,1.0,1565.0,2002,Azúcar Molida Superior Ledesma 1 Kg,Ledesma,7792540250450,1.0,1565.0,2002,1.44,1.44,2254.0,2254.0
Yerba mate,0.6,kg,0,Yerba Mate Suave con Palo Playadito 500 Gr,Playadito,7793704000911,0.5,2758.0,2362,Yerba Mate Suave con Palo Playadito 500 Gr,Playadito,7793704000911,0.5,2758.0,2362,1.2,1.2,3310.0,3310.0
Cafe molido,0.1,kg,0,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cabrales,7790550000157,0.25,7410.0,2353,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cabrales,7790550000157,0.25,7410.0,2353,0.4,0.4,2964.0,2964.0
Leche entera,7.35,L,0,Leche Larga Vida Entera Clásica 3% La Serenisima 1 Lt,La Serenisima,7790742363008,1.0,2670.0,2328,Leche Larga Vida Entera Clásica 3% La Serenisima 1 Lt,La Serenisima,7790742363008,1.0,2670.0,2328,7.35,7.35,19624.0,19624.0
Atun,0.3,kg,0,Atún al Natural Libre de Gluten sin TACC La Campagnola 170 Gr,La Campagnola,7790580131364,0.17,5745.0,2334,Atún al Natural Libre de Gluten sin TACC La Campagnola 170 Gr,La Campagnola,7790580131364,0.17,5745.0,2334,1.76,1.76,10111.0,10111.0
Mermelada,0.24,kg,0,Mermelada Durazno Arcor 454 Gr,Arcor,7790580132163,0.454,3074.0,2350,Mermelada Durazno Arcor 454 Gr,Arcor,7790580132163,0.454,3074.0,2350,0.53,0.53,1629.0,1629.0
Lentejas,0.24,kg,0,Lentejas Secas Remojadas Arcor 300 Gr,Arcor,7790580132453,0.3,1744.0,1329,Lentejas Secas Remojadas Arcor 300 Gr,Arcor,7790580132453,0.3,1744.0,1329,0.8,0.8,1395.0,1395.0
Gaseosa cola,4.0,L,0,Coca Cola Sabor Original 2.25 Lt,Coca Cola,7790895000997,2.25,5650.0,2295,Coca Cola Sabor Original 2.25 Lt,Coca Cola,7790895000997,2.25,5650.0,2295,1.78,1.78,10057.0,10057.0
