iso_3166_2,provincia,region,poblacion_censo2022
AR-A,Salta,Noroeste,1440672
AR-B,Buenos Aires,Pampeana,17569053
AR-C,CABA,AMBA,3120612
AR-D,San Luis,Cuyo,540905
AR-E,Entre Rios,Pampeana,1426426
AR-F,La Rioja,Noroeste,384607
AR-G,Santiago del Estero,Noroeste,1054028
AR-H,Chaco,Noreste,1142963
AR-J,San Juan,Cuyo,818234
AR-K,Catamarca,Noroeste,429556
AR-L,La Pampa,Pampeana,366022
AR-M,Mendoza,Cuyo,2014533
AR-N,Misiones,Noreste,1280960
AR-P,Formosa,Noreste,606041
AR-Q,Neuquen,Patagonia,726590
AR-R,Rio Negro,Patagonia,762067
AR-S,Santa Fe,Pampeana,3556522
AR-T,Tucuman,Noroeste,1703186
AR-U,Chubut,Patagonia,603120
AR-V,Tierra del Fuego,Patagonia,190641
AR-W,Corrientes,Noreste,1197553
AR-X,Cordoba,Pampeana,3840905
AR-Y,Jujuy,Noroeste,811503
AR-Z,Santa Cruz,Patagonia,333473
